STATE,DISTRICT,SUBDISTT,TOWN/VILLAGE,WARD,LEVEL,NAME,TRU,NO_HH,TOT_P,TOT_M,TOT_F,POPULATION_YEAR,SOURCE,NAME_CLEAN
5,57,284,40835,0,VILLAGE,Pokhani Urf Pokhari,Rural,54,245,117,128,2011,Census of India - Population Census 2011,POKHANI URF POKHARI
5,57,284,40836,0,VILLAGE,Lanji,Rural,27,171,85,86,2011,Census of India - Population Census 2011,LANJI
5,57,284,40837,0,VILLAGE,Tirosi,Rural,8,43,21,22,2011,Census of India - Population Census 2011,TIROSI
5,57,284,40838,0,VILLAGE,Dwing,Rural,30,127,62,65,2011,Census of India - Population Census 2011,DWING
5,57,284,40839,0,VILLAGE,Tapon,Rural,24,92,51,41,2011,Census of India - Population Census 2011,TAPON
5,57,284,40840,0,VILLAGE,Gulabkoti,Rural,81,356,179,177,2011,Census of India - Population Census 2011,GULABKOTI
5,57,284,40841,0,VILLAGE,Langsi,Rural,102,395,218,177,2011,Census of India - Population Census 2011,LANGSI
5,57,284,40842,0,VILLAGE,Tangni talli,Rural,59,232,120,112,2011,Census of India - Population Census 2011,TANGNI TALLI
5,57,284,40843,0,VILLAGE,Tangni malli,Rural,73,304,151,153,2011,Census of India - Population Census 2011,TANGNI MALLI
5,57,284,40844,0,VILLAGE,Jalgwar,Rural,77,360,185,175,2011,Census of India - Population Census 2011,JALGWAR
5,57,284,40845,0,VILLAGE,Pakhi,Rural,96,365,184,181,2011,Census of India - Population Census 2011,PAKHI
5,57,284,40846,0,VILLAGE,Marwadi Chak Pakhi,Rural,31,157,109,48,2011,Census of India - Population Census 2011,MARWADI CHAK PAKHI
5,57,284,40847,0,VILLAGE,Darmi,Rural,19,95,51,44,2011,Census of India - Population Census 2011,DARMI
5,57,284,40848,0,VILLAGE,Noligwar,Rural,25,112,54,58,2011,Census of India - Population Census 2011,NOLIGWAR
5,57,284,40849,0,VILLAGE,Pagnau,Rural,94,390,188,202,2011,Census of India - Population Census 2011,PAGNAU
5,57,284,40850,0,VILLAGE,Molta,Rural,92,442,222,220,2011,Census of India - Population Census 2011,MOLTA
5,57,284,40851,0,VILLAGE,Ganai,Rural,107,450,240,210,2011,Census of India - Population Census 2011,GANAI
5,57,284,40852,0,VILLAGE,Bhalgaon,Rural,42,167,76,91,2011,Census of India - Population Census 2011,BHALGAON
5,57,284,40853,0,VILLAGE,Longsagari,Rural,27,100,56,44,2011,Census of India - Population Census 2011,LONGSAGARI
5,57,284,40854,0,VILLAGE,Fagti,Rural,0,0,0,0,2011,Census of India - Population Census 2011,FAGTI
5,57,284,40855,0,VILLAGE,Pagrasu,Rural,20,56,27,29,2011,Census of India - Population Census 2011,PAGRASU
5,57,284,40856,0,VILLAGE,Tolma,Rural,74,429,299,130,2011,Census of India - Population Census 2011,TOLMA
5,57,284,40857,0,VILLAGE,Sukhi,Rural,43,174,88,86,2011,Census of India - Population Census 2011,SUKHI
5,57,284,40858,0,VILLAGE,Kuraipani,Rural,8,28,17,11,2011,Census of India - Population Census 2011,KURAIPANI
5,57,284,40859,0,VILLAGE,Aira,Rural,5,21,11,10,2011,Census of India - Population Census 2011,AIRA
5,57,284,40860,0,VILLAGE,Inara,Rural,0,0,0,0,2011,Census of India - Population Census 2011,INARA
5,57,284,40861,0,VILLAGE,Khancha talla,Rural,2,13,6,7,2011,Census of India - Population Census 2011,KHANCHA TALLA
5,57,284,40862,0,VILLAGE,Khancha malla,Rural,3,12,6,6,2011,Census of India - Population Census 2011,KHANCHA MALLA
5,57,284,40863,0,VILLAGE,Merag,Rural,100,451,231,220,2011,Census of India - Population Census 2011,MERAG
5,57,284,40864,0,VILLAGE,Bara gaon,Rural,195,792,394,398,2011,Census of India - Population Census 2011,BARA GAON
5,57,284,40865,0,VILLAGE,Payya chormi,Rural,30,134,67,67,2011,Census of India - Population Census 2011,PAYYA CHORMI
5,57,284,40866,0,VILLAGE,Dhak,Rural,99,422,215,207,2011,Census of India - Population Census 2011,DHAK
5,57,284,40867,0,VILLAGE,Kundikhola,Rural,42,180,88,92,2011,Census of India - Population Census 2011,KUNDIKHOLA
5,57,284,40868,0,VILLAGE,Tugasi,Rural,44,230,116,114,2011,Census of India - Population Census 2011,TUGASI
5,57,284,40869,0,VILLAGE,Raigari,Rural,24,97,48,49,2011,Census of India - Population Census 2011,RAIGARI
5,57,284,40870,0,VILLAGE,Karchi,Rural,68,328,158,170,2011,Census of India - Population Census 2011,KARCHI
5,57,284,40871,0,VILLAGE,Bilagar,Rural,26,97,46,51,2011,Census of India - Population Census 2011,BILAGAR
5,57,284,40872,0,VILLAGE,Chamtoli,Rural,25,122,77,45,2011,Census of India - Population Census 2011,CHAMTOLI
5,57,284,40873,0,VILLAGE,Topovan,Rural,270,1064,605,459,2011,Census of India - Population Census 2011,TOPOVAN
5,57,284,40874,0,VILLAGE,Gahar,Rural,11,50,28,22,2011,Census of India - Population Census 2011,GAHAR
5,57,284,40875,0,VILLAGE,Bhangyul,Rural,48,241,124,117,2011,Census of India - Population Census 2011,BHANGYUL
5,57,284,40876,0,VILLAGE,Karachhon,Rural,83,429,212,217,2011,Census of India - Population Census 2011,KARACHHON
5,57,284,40877,0,VILLAGE,Badal Gaitha,Rural,0,0,0,0,2011,Census of India - Population Census 2011,BADAL GAITHA
5,57,284,40878,0,VILLAGE,Juwagwar,Rural,16,59,27,32,2011,Census of India - Population Census 2011,JUWAGWAR
5,57,284,40879,0,VILLAGE,Jugaju chak lata,Rural,10,36,18,18,2011,Census of India - Population Census 2011,JUGAJU CHAK LATA
5,57,284,40880,0,VILLAGE,Lata,Rural,84,305,145,160,2011,Census of India - Population Census 2011,LATA
5,57,284,40881,0,VILLAGE,Raini Chak Lata,Rural,48,145,106,39,2011,Census of India - Population Census 2011,RAINI CHAK LATA
5,57,284,40882,0,VILLAGE,Pang Chak Lata,Rural,32,125,52,73,2011,Census of India - Population Census 2011,PANG CHAK LATA
5,57,284,40883,0,VILLAGE,Morana Chak Subhai,Rural,5,23,11,12,2011,Census of India - Population Census 2011,MORANA CHAK SUBHAI
5,57,284,40884,0,VILLAGE,Subhai,Rural,126,569,295,274,2011,Census of India - Population Census 2011,SUBHAI
5,57,284,40885,0,VILLAGE,Raini Chak Subhai,Rural,56,258,188,70,2011,Census of India - Population Census 2011,RAINI CHAK SUBHAI
5,57,284,40886,0,VILLAGE,Ringi,Rural,68,273,129,144,2011,Census of India - Population Census 2011,RINGI
5,57,284,40887,0,VILLAGE,Bampa,Rural,60,192,85,107,2011,Census of India - Population Census 2011,BAMPA
5,57,284,40888,0,VILLAGE,Gamsali,Rural,108,383,182,201,2011,Census of India - Population Census 2011,GAMSALI
5,57,284,40889,0,VILLAGE,Niti,Rural,29,47,22,25,2011,Census of India - Population Census 2011,NITI
5,57,284,40890,0,VILLAGE,Gurguti,Rural,101,250,147,103,2011,Census of India - Population Census 2011,GURGUTI
5,57,284,40891,0,VILLAGE,Mahargaon,Rural,43,269,139,130,2011,Census of India - Population Census 2011,MAHARGAON
5,57,284,40892,0,VILLAGE,Malari,Rural,1076,1933,1427,506,2011,Census of India - Population Census 2011,MALARI
5,57,284,40893,0,VILLAGE,Kailashpur,Rural,35,158,80,78,2011,Census of India - Population Census 2011,KAILASHPUR
5,57,284,40894,0,VILLAGE,Rewal Chak Kurkuti,Rural,0,0,0,0,2011,Census of India - Population Census 2011,REWAL CHAK KURKUTI
5,57,284,40895,0,VILLAGE,Farkiagaon,Rural,41,197,108,89,2011,Census of India - Population Census 2011,FARKIAGAON
5,57,284,40896,0,VILLAGE,Kosa,Rural,71,302,153,149,2011,Census of India - Population Census 2011,KOSA
5,57,284,40897,0,VILLAGE,Jalam,Rural,81,224,120,104,2011,Census of India - Population Census 2011,JALAM
5,57,284,40898,0,VILLAGE,Jumma,Rural,62,78,63,15,2011,Census of India - Population Census 2011,JUMMA
5,57,284,40899,0,VILLAGE,Lamtoli,Rural,0,0,0,0,2011,Census of India - Population Census 2011,LAMTOLI
5,57,284,40900,0,VILLAGE,Kaga Laga Dronagiri,Rural,26,97,47,50,2011,Census of India - Population Census 2011,KAGA LAGA DRONAGIRI
5,57,284,40901,0,VILLAGE,Garpak,Rural,11,66,40,26,2011,Census of India - Population Census 2011,GARPAK
5,57,284,40902,0,VILLAGE,Dronagiri,Rural,31,92,47,45,2011,Census of India - Population Census 2011,DRONAGIRI
5,57,284,40903,0,VILLAGE,F-1,Rural,2,2,2,0,2011,Census of India - Population Census 2011,F-1
5,57,284,40904,0,VILLAGE,Joshimath,Rural,0,0,0,0,2011,Census of India - Population Census 2011,JOSHIMATH
5,57,284,40905,0,VILLAGE,Chamoli,Rural,0,0,0,0,2011,Census of India - Population Census 2011,CHAMOLI
5,57,284,40906,0,VILLAGE,Joshimath,Rural,0,0,0,0,2011,Census of India - Population Census 2011,JOSHIMATH
5,57,284,800290,0,TOWN,Badrinathpuri (NP),Urban,850,2438,2054,384,2011,Census of India - Population Census 2011,BADRINATHPURI (NP)
5,57,284,800291,0,TOWN,Joshimath  (NPP),Urban,3898,16709,9988,6721,2011,Census of India - Population Census 2011,JOSHIMATH  (NPP)
